Index,Temperature,Humidity,DATE
1,31.80,15.00,15/4/2024 19:28:22
2,31.80,15.00,15/4/2024 19:28:32
3,31.80,15.00,15/4/2024 19:28:43
4,31.80,15.00,15/4/2024 19:28:53
5,31.90,15.00,15/4/2024 19:29:3
6,31.80,15.00,15/4/2024 19:29:13
7,31.80,15.00,15/4/2024 19:29:23
8,31.80,15.00,15/4/2024 19:29:33
9,31.80,15.00,15/4/2024 19:29:43
10,31.90,15.00,15/4/2024 19:29:53
11,31.80,15.00,15/4/2024 19:30:3
12,31.80,15.00,15/4/2024 19:30:13
13,31.80,15.00,15/4/2024 19:30:24
14,31.80,15.00,15/4/2024 19:30:34
15,31.80,15.00,15/4/2024 19:30:44
16,31.80,15.00,15/4/2024 19:30:54
17,31.90,16.00,15/4/2024 19:31:4
18,31.80,16.00,15/4/2024 19:31:14
19,31.90,16.00,15/4/2024 19:31:24
20,31.90,16.00,15/4/2024 19:31:34
21,31.90,17.00,15/4/2024 19:31:44
22,31.90,17.00,15/4/2024 19:31:54
23,31.90,17.00,15/4/2024 19:32:5
24,32.00,17.00,15/4/2024 19:32:15
25,32.00,17.00,15/4/2024 19:32:25
26,32.00,18.00,15/4/2024 19:32:35
27,32.00,17.00,15/4/2024 19:32:45
28,31.90,17.00,15/4/2024 19:32:55
29,32.00,17.00,15/4/2024 19:33:5
30,32.00,18.00,15/4/2024 19:33:15
31,31.90,17.00,15/4/2024 19:33:25
32,32.00,18.00,15/4/2024 19:33:35
33,32.00,18.00,15/4/2024 19:33:46
34,32.00,17.00,15/4/2024 19:33:56
35,32.00,17.00,15/4/2024 19:34:6
36,32.00,17.00,15/4/2024 19:34:16
37,31.90,17.00,15/4/2024 19:34:26
38,32.00,17.00,15/4/2024 19:34:36
39,32.00,17.00,15/4/2024 19:34:46
40,31.90,17.00,15/4/2024 19:34:56
41,31.90,17.00,15/4/2024 19:35:6
42,32.00,17.00,15/4/2024 19:35:16
43,32.00,17.00,15/4/2024 19:35:27
44,31.90,17.00,15/4/2024 19:35:37
45,31.90,17.00,15/4/2024 19:35:47
46,31.90,17.00,15/4/2024 19:35:57
47,31.90,16.00,15/4/2024 19:36:7
48,32.00,17.00,15/4/2024 19:36:17
49,31.90,17.00,15/4/2024 19:36:27
50,32.00,16.00,15/4/2024 19:36:37
51,31.90,16.00,15/4/2024 19:36:47
52,31.90,16.00,15/4/2024 19:36:57
53,31.90,16.00,15/4/2024 19:37:8
54,31.90,16.00,15/4/2024 19:37:18
55,31.90,16.00,15/4/2024 19:37:28
56,31.90,16.00,15/4/2024 19:37:38
57,31.90,16.00,15/4/2024 19:37:48
58,31.90,16.00,15/4/2024 19:37:58
59,31.90,16.00,15/4/2024 19:38:8
60,31.90,16.00,15/4/2024 19:38:18
61,31.90,16.00,15/4/2024 19:38:28
62,31.90,16.00,15/4/2024 19:38:38
63,31.90,16.00,15/4/2024 19:38:49
64,31.90,16.00,15/4/2024 19:38:59
65,31.90,16.00,15/4/2024 19:39:9
66,31.90,16.00,15/4/2024 19:39:19
67,31.90,16.00,15/4/2024 19:39:29
68,31.80,16.00,15/4/2024 19:39:39
69,31.90,16.00,15/4/2024 19:39:49
70,31.80,16.00,15/4/2024 19:39:59
71,31.90,16.00,15/4/2024 19:40:9
72,31.90,16.00,15/4/2024 19:40:19
73,31.90,16.00,15/4/2024 19:40:30
74,31.90,16.00,15/4/2024 19:40:40
75,31.90,16.00,15/4/2024 19:40:50
76,31.90,16.00,15/4/2024 19:41:0
77,31.90,16.00,15/4/2024 19:41:10
78,31.90,16.00,15/4/2024 19:41:20
79,31.90,16.00,15/4/2024 19:41:30
80,31.90,16.00,15/4/2024 19:41:40
81,31.90,16.00,15/4/2024 19:41:50
82,31.80,16.00,15/4/2024 19:42:0
83,31.90,16.00,15/4/2024 19:42:11
84,31.90,16.00,15/4/2024 19:42:21
85,31.80,16.00,15/4/2024 19:42:31
86,31.90,16.00,15/4/2024 19:42:41
87,31.90,16.00,15/4/2024 19:42:51
88,31.80,16.00,15/4/2024 19:43:1
89,31.80,16.00,15/4/2024 19:43:11
90,31.80,16.00,15/4/2024 19:43:21
91,31.80,16.00,15/4/2024 19:43:31
92,31.90,16.00,15/4/2024 19:43:41
93,31.90,16.00,15/4/2024 19:43:52
94,31.80,16.00,15/4/2024 19:44:2
95,31.80,16.00,15/4/2024 19:44:12
